region,region_code,period,pct_phys_any_ehr,pct_phys_basic_ehr,pct_phys_cert_ehr,pct_primary_care_phys_basic_ehr,pct_primary_care_phys_cert_ehr,pct_surg_med_spec_phys_cert_ehr,pct_rural_phys_basic_ehr,pct_small_practice_phys_basic_ehr,pct_small_practice_phys_cert_ehr,pct_phys_view_labs,pct_phys_send_lab_orders,pct_phys_graph_labs,pct_phys_e_share_provs,pct_phys_e_share_ambu_provs,pct_phys_e_share_hosps,pct_phys_send_receive_any_patient_info,pct_phys_e_share_patients,pct_phys_patient_secure_message,pct_phys_vdt,pct_phys_vd_and_t,pct_phys_patient_clinical_summary,pct_phys_find_clin_info,pct_phys_send_any_clin_info,pct_phys_send_summary_care_record,pct_phys_receive_any_clin_info,pct_phys_receive_summary_care_record,pct_phys_integrate_any_clin_info,pct_phys_integrate_summary_care_record
North Dakota,ND,2015,0.935,0.781,0.838,,0.866376245,0.811687267,,,0.786003633,,,,,,,0.553795352,0.857290084,0.810786353,0.816284733,0.225889605,,0.415986027,0.374345181,0.380337626,0.509862675,0.383208074,0.317357335,0.15295111
Ohio,OH,2015,0.871,0.547,0.764,,0.779840831,0.748943411,,,0.727713665,,,,,,,0.562031253,0.742493791,0.688004933,0.720450258,0.132969756,,0.471709871,0.455498105,0.15616333,0.461699243,0.265974593,0.356115308,0.21311712
Oklahoma,OK,2015,0.871,0.521,0.771,,0.885023636,0.62935083,,,0.729480808,,,,,,,0.381570667,0.715420111,0.643221402,0.597714249,0.153316487,,0.225644198,0.349363331,0.195715052,0.327607325,0.200456003,0.316724142,0.123395194
Oregon,OR,2015,0.836,0.648,0.777,,0.817698708,0.761216232,,,0.615084624,,,,,,,0.622629461,0.805099751,0.76676986,0.805099751,0.234041721,,0.607333555,0.505496006,0.395149625,0.599697323,0.46335983,0.441574752,0.17199874
Pennsylvania,PA,2015,0.834,0.5,0.727,,0.681276704,0.766960812,,,0.637984959,,,,,,,0.395165439,0.63648924,0.571440686,0.597856133,0.188401978,,0.207970327,0.271330725,0.21639835,0.366856697,0.291495676,0.345640602,0.118089189
Rhode Island,RI,2015,0.774,0.469,0.69,,0.748199274,0.646995217,,,0.484846416,,,,,,,0.542581755,0.747313436,0.733465683,0.63485561,0.120662516,,0.316631255,0.387721312,0.186325778,0.488517031,0.222069207,0.259496437,0.124845848
South Carolina,SC,2015,0.859,0.483,0.768,,0.832466833,0.706045645,,,0.654347484,,,,,,,0.517501993,0.742928854,0.679698635,0.68561029,0.243555795,,0.275588149,0.464869694,0.318689544,0.37763326,0.31063734,0.302397005,0.140781032
South Dakota,SD,2015,0.975,0.727,0.904,,0.968962069,0.845071721,,,0.80565404,,,,,,,0.512313381,0.881492518,0.813389194,0.80193806,0.285369981,,0.424805971,0.428213223,0.398686017,0.441859023,0.3973978,0.357445557,0.260541948
Tennessee,TN,2015,0.874,0.495,0.802,,0.832836966,0.777317545,,,0.805193722,,,,,,,0.439512045,0.761819992,0.732432978,0.695750783,0.230369847,,0.311472624,0.398005178,0.199976299,0.298406852,0.20939921,0.286548687,0.135578326
Texas,TX,2015,0.934,0.541,0.79,,0.851335779,0.740973061,,,0.73800333,,,,,,,0.475579558,0.659420322,0.513298585,0.550220264,0.104247031,,0.210248093,0.377071247,0.149308028,0.348944277,0.126427537,0.234420194,0.067882345
